credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid
1.00,debt_consolidation,0.0775,156.11,10.71,5.00,762.00,2131.00,1359.00,5.60,2.00,0.00,0.00,0.00
1.00,debt_consolidation,0.1154,329.95,12.32,20.00,727.00,10292.00,107501.00,44.80,2.00,0.00,0.00,0.00
1.00,all_other,0.0807,313.67,12.06,0.72,787.00,8010.00,3054.00,5.60,3.00,0.00,0.00,0.00
1.00,all_other,0.0807,297.99,11.41,2.44,792.00,8717.96,40384.00,9.60,0.00,0.00,0.00,0.00
1.00,home_improvement,0.0933,239.65,11.44,9.66,792.00,4529.00,128000.00,0.00,3.00,0.00,0.00,0.00
1.00,debt_consolidation,0.0712,61.87,11.68,0.43,772.00,5936.00,4709.00,18.50,0.00,0.00,0.00,0.00
1.00,all_other,0.1186,94.47,10.71,2.80,667.00,5460.00,2850.00,75.00,0.00,1.00,0.00,0.00
1.00,small_business,0.1501,73.68,11.47,16.89,702.00,4080.00,51.00,0.00,0.00,0.00,0.00,1.00
1.00,home_improvement,0.0807,313.67,11.92,5.84,792.00,5364.96,37152.00,3.70,0.00,0.00,0.00,0.00
1.00,debt_consolidation,0.0933,543.20,11.23,9.55,762.00,5699.96,3839.00,16.60,1.00,0.00,0.00,0.00
1.00,home_improvement,0.0807,313.67,11.35,3.11,797.00,5363.96,37152.00,3.70,0.00,0.00,0.00,0.00
1.00,credit_card,0.1217,266.37,11.16,10.20,672.00,3598.96,26283.00,39.50,0.00,1.00,0.00,1.00
1.00,debt_consolidation,0.1028,210.60,10.71,5.87,692.00,1741.96,5607.00,42.20,0.00,0.00,0.00,0.00
1.00,all_other,0.1249,234.15,10.04,5.01,662.00,1110.00,1061.00,81.90,3.00,0.00,0.00,0.00
1.00,debt_consolidation,0.1028,323.99,11.70,14.40,722.00,4679.96,56740.00,77.50,1.00,0.00,0.00,0.00
1.00,credit_card,0.1059,235.96,10.95,7.22,712.00,5519.00,40598.00,77.30,1.00,0.00,0.00,0.00
1.00,debt_consolidation,0.1438,352.22,11.18,17.83,687.00,1289.96,3815.00,6.50,1.00,0.00,0.00,0.00
1.00,all_other,0.0743,117.31,11.70,0.00,772.00,3929.96,0.00,0.00,1.00,0.00,0.00,0.00
1.00,debt_consolidation,0.0712,64.96,11.61,0.22,812.00,16213.00,50.00,0.30,0.00,0.00,0.00,0.00
1.00,small_business,0.1565,699.69,11.43,1.53,667.00,3603.96,4569.00,56.40,1.00,0.00,0.00,0.00
1.00,educational,0.1059,195.27,9.85,8.15,692.00,3089.96,8528.00,86.10,0.00,0.00,0.00,0.00
1.00,credit_card,0.1122,295.59,10.39,22.15,747.00,2788.96,14345.00,45.80,0.00,0.00,0.00,0.00
1.00,small_business,0.1122,217.59,10.82,18.38,707.00,3359.00,113.00,2.40,1.00,0.00,0.00,0.00
1.00,debt_consolidation,0.1375,263.09,11.04,9.80,677.00,3089.96,12231.00,81.00,3.00,0.00,0.00,1.00
1.00,debt_consolidation,0.1467,248.43,10.95,20.76,667.00,3750.00,13552.00,69.10,0.00,1.00,0.00,0.00
1.00,credit_card,0.1028,194.40,11.38,10.60,692.00,2489.96,16813.00,63.90,0.00,0.00,0.00,0.00
1.00,debt_consolidation,0.1249,301.04,10.57,5.08,667.00,3690.00,26233.00,62.90,3.00,0.00,1.00,1.00
1.00,all_other,0.0743,163.92,11.35,2.64,782.00,9210.00,5760.00,16.00,0.00,0.00,0.00,0.00
1.00,all_other,0.1028,150.66,10.73,3.26,687.00,6509.96,105.00,35.00,1.00,1.00,0.00,1.00
1.00,debt_consolidation,0.1122,217.59,10.95,13.77,682.00,2160.00,11490.00,95.70,0.00,0.00,0.00,0.00
1.00,home_improvement,0.1312,85.23,10.60,20.67,692.00,5250.00,17641.00,30.50,3.00,1.00,0.00,0.00
1.00,all_other,0.1122,328.43,10.31,20.40,742.00,3270.00,0.00,0.00,3.00,0.00,0.00,0.00
1.00,all_other,0.0807,165.47,10.92,12.00,797.00,8790.00,12430.00,19.20,1.00,0.00,0.00,0.00
1.00,debt_consolidation,0.1091,140.60,10.49,9.87,707.00,1560.00,12323.00,44.00,0.00,0.00,0.00,0.00
1.00,all_other,0.1028,98.01,11.41,9.13,697.00,3300.00,38624.00,97.80,0.00,0.00,0.00,0.00
1.00,small_business,0.1217,166.48,9.21,0.00,662.00,2250.00,875.00,54.70,2.00,1.00,0.00,1.00
1.00,small_business,0.1249,284.32,11.35,6.38,667.00,7229.96,1196.00,12.00,3.00,4.00,0.00,0.00
1.00,small_business,0.1438,194.15,13.08,2.40,697.00,2759.96,26628.00,60.40,3.00,1.00,0.00,0.00
1.00,all_other,0.1028,138.51,10.34,24.81,767.00,5789.96,6752.00,24.60,2.00,0.00,0.00,0.00
1.00,debt_consolidation,0.1249,70.25,9.43,14.40,662.00,1469.00,458.00,91.60,1.00,0.00,0.00,1.00
1.00,credit_card,0.0838,252.10,11.56,9.71,752.00,3508.96,16786.00,44.70,0.00,0.00,0.00,0.00
1.00,all_other,0.0901,263.19,11.70,12.16,742.00,9719.96,7336.00,29.90,0.00,0.00,0.00,0.00
1.00,all_other,0.0933,104.65,11.03,3.83,702.00,3690.00,7089.00,41.90,1.00,0.00,0.00,0.00
1.00,debt_consolidation,0.0807,172.53,10.90,6.29,742.00,5100.00,18388.00,68.90,0.00,0.00,0.00,0.00
1.00,credit_card,0.0996,38.70,10.37,1.13,677.00,1920.00,613.00,76.60,2.00,0.00,0.00,0.00
1.00,educational,0.1249,100.35,10.28,12.77,662.00,1110.00,566.00,51.50,3.00,1.00,0.00,1.00
1.00,debt_consolidation,0.1280,335.98,10.50,18.92,682.00,2219.00,9166.00,50.40,1.00,0.00,0.00,0.00
1.00,all_other,0.1091,163.49,10.57,11.78,707.00,4889.00,5406.00,33.40,0.00,0.00,1.00,1.00
1.00,all_other,0.0996,32.25,10.46,5.83,687.00,2158.96,1188.00,3.00,2.00,0.00,0.00,1.00
1.00,educational,0.0996,96.75,9.80,15.40,707.00,11248.96,12003.00,40.40,1.00,0.00,0.00,0.00
1.00,all_other,0.1059,72.42,11.00,8.14,707.00,4800.00,20511.00,62.00,1.00,0.00,0.00,1.00
1.00,small_business,0.0964,90.68,11.16,18.00,732.00,3691.00,55720.00,10.00,2.00,0.00,0.00,0.00
1.00,all_other,0.0807,259.58,10.80,9.89,772.00,9870.00,7744.00,17.10,0.00,0.00,0.00,0.00
1.00,all_other,0.0964,169.32,11.16,17.57,737.00,5429.96,51761.00,38.00,1.00,0.00,0.00,0.00
1.00,credit_card,0.1154,205.40,10.71,17.76,717.00,1500.00,579.00,23.20,0.00,0.00,0.00,0.00
1.00,debt_consolidation,0.1312,162.01,11.35,16.87,707.00,9059.96,34776.00,54.30,0.00,0.00,0.00,1.00
1.00,debt_consolidation,0.1028,226.80,10.92,10.05,692.00,1890.00,8047.00,33.80,0.00,0.00,0.00,0.00
1.00,all_other,0.1059,162.73,9.62,24.40,737.00,3209.96,0.00,0.00,3.00,0.00,0.00,0.00
1.00,debt_consolidation,0.1154,158.38,10.13,18.19,672.00,2586.00,409.00,81.80,0.00,1.00,0.00,0.00
1.00,small_business,0.0901,795.11,10.95,8.93,822.00,9696.96,185.00,0.50,0.00,0.00,0.00,0.00
1.00,debt_consolidation,0.0996,158.83,11.34,4.84,727.00,6330.00,48251.00,50.10,2.00,0.00,0.00,0.00
1.00,all_other,0.1028,97.20,10.55,19.93,687.00,2580.00,772.00,96.50,0.00,0.00,0.00,0.00
1.00,debt_consolidation,0.1154,263.97,10.82,8.04,672.00,3089.00,1019.00,4.50,1.00,1.00,0.00,0.00
1.00,small_business,0.1091,404.62,10.75,16.39,692.00,5640.00,8332.00,39.90,2.00,0.00,0.00,0.00
1.00,all_other,0.0775,307.53,11.16,9.09,797.00,6089.96,1790.00,4.50,1.00,0.00,0.00,0.00
1.00,debt_consolidation,0.1280,839.95,11.23,24.85,722.00,6330.00,62739.00,74.70,3.00,0.00,0.00,1.00
1.00,all_other,0.1059,269.31,11.60,24.01,767.00,4665.96,29901.00,71.20,2.00,0.00,0.00,1.00
1.00,debt_consolidation,0.1186,265.18,10.86,11.31,667.00,1560.00,5867.00,74.30,1.00,0.00,0.00,0.00
1.00,home_improvement,0.0964,802.47,11.26,0.80,732.00,2129.96,10605.00,22.10,1.00,0.00,0.00,0.00
1.00,debt_consolidation,0.1091,505.16,11.70,16.97,697.00,9659.00,57196.00,44.50,3.00,0.00,0.00,1.00
1.00,home_improvement,0.0901,318.05,12.52,2.97,712.00,4919.00,481.00,80.20,2.00,0.00,0.00,1.00
1.00,educational,0.0838,315.12,10.31,4.20,737.00,1560.00,2282.00,19.00,1.00,0.00,0.00,0.00
1.00,all_other,0.1091,130.79,9.57,8.92,672.00,1140.00,3614.00,61.30,1.00,0.00,0.00,0.00
1.00,debt_consolidation,0.1059,227.82,11.06,8.50,682.00,6839.96,14930.00,79.00,1.00,0.00,1.00,0.00
1.00,credit_card,0.0996,643.36,11.66,13.07,727.00,10529.96,33989.00,82.90,0.00,0.00,0.00,0.00
1.00,all_other,0.1470,51.78,10.13,3.84,632.00,1530.00,1238.00,61.90,1.00,1.00,0.00,0.00
1.00,educational,0.0901,572.48,10.62,15.37,747.00,7500.00,4746.00,18.50,2.00,0.00,0.00,0.00
1.00,all_other,0.0775,149.87,9.95,6.34,752.00,3029.00,3470.00,25.50,0.00,0.00,0.00,0.00
1.00,all_other,0.0996,96.75,11.03,11.98,682.00,1799.00,12640.00,83.20,0.00,0.00,0.00,0.00
1.00,home_improvement,0.0712,92.80,11.44,0.00,812.00,8250.00,368.00,1.20,0.00,0.00,0.00,0.00
1.00,credit_card,0.1091,192.09,11.10,19.82,677.00,4290.00,30597.00,89.50,1.00,1.00,0.00,0.00
1.00,all_other,0.1154,593.92,10.20,10.80,682.00,5050.00,8537.00,75.50,0.00,0.00,0.00,0.00
1.00,debt_consolidation,0.1091,392.36,10.46,15.74,692.00,1500.04,15649.00,54.50,2.00,0.00,0.00,0.00
1.00,educational,0.0775,156.11,10.86,9.55,767.00,12960.04,4067.00,7.30,0.00,0.00,0.00,0.00
1.00,debt_consolidation,0.1028,155.52,10.46,7.51,687.00,2795.00,5836.00,68.70,0.00,0.00,1.00,0.00
1.00,credit_card,0.1028,485.99,11.39,11.95,702.00,5070.00,24615.00,94.70,0.00,0.00,0.00,0.00
1.00,all_other,0.1028,116.64,10.31,7.88,687.00,5130.04,7600.00,71.70,0.00,0.00,1.00,0.00
1.00,debt_consolidation,0.1122,223.34,10.84,18.68,682.00,1889.04,9495.00,87.90,2.00,0.00,0.00,1.00
1.00,credit_card,0.0775,149.87,9.90,10.26,757.00,6330.04,4921.00,30.40,0.00,0.00,0.00,0.00
1.00,educational,0.1154,211.17,11.46,1.83,667.00,3421.04,11200.00,23.20,1.00,0.00,0.00,0.00
1.00,debt_consolidation,0.0743,186.45,11.14,6.11,777.00,7440.04,2444.00,5.60,3.00,0.00,0.00,0.00
1.00,debt_consolidation,0.0933,790.86,11.00,0.82,767.00,2100.00,916.00,6.80,0.00,0.00,0.00,0.00
1.00,small_business,0.0901,795.11,13.33,3.83,782.00,3660.00,148829.00,6.60,5.00,0.00,0.00,1.00
1.00,credit_card,0.0870,126.65,10.69,18.71,747.00,3630.00,3209.00,12.60,0.00,0.00,0.00,0.00
1.00,credit_card,0.1091,294.27,11.29,17.17,677.00,3840.04,7570.00,82.30,0.00,0.00,0.00,0.00
1.00,debt_consolidation,0.1091,404.62,11.29,9.23,687.00,2519.00,13126.00,96.50,0.00,0.00,1.00,0.00
1.00,debt_consolidation,0.1186,397.77,11.92,20.48,687.00,4452.04,66654.00,51.60,1.00,0.00,0.00,0.00
1.00,debt_consolidation,0.0743,178.68,11.46,1.20,812.00,16259.04,50.00,0.30,0.00,0.00,0.00,0.00
1.00,educational,0.1028,29.16,9.39,16.70,687.00,2069.00,3084.00,65.60,3.00,0.00,0.00,1.00
1.00,small_business,0.0996,417.62,11.43,6.48,712.00,5610.04,2598.00,23.80,1.00,0.00,0.00,0.00
1.00,credit_card,0.1059,130.18,11.03,17.81,682.00,6330.04,18168.00,68.50,2.00,0.00,0.00,0.00
1.00,all_other,0.1122,98.53,10.40,22.79,682.00,9389.00,24218.00,85.30,2.00,0.00,0.00,0.00
1.00,all_other,0.0807,15.69,9.80,4.27,722.00,1470.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,credit_card,0.1091,523.14,12.21,10.70,697.00,7320.00,72303.00,73.70,1.00,0.00,0.00,0.00
1.00,all_other,0.0870,557.23,11.94,0.12,757.00,1128.04,1032.00,5.00,0.00,0.00,0.00,0.00
1.00,all_other,0.1122,315.30,10.66,14.60,677.00,3630.00,133.00,4.20,1.00,0.00,0.00,0.00
1.00,debt_consolidation,0.1154,527.93,10.70,12.16,682.00,2130.00,34023.00,57.70,1.00,2.00,0.00,1.00
1.00,major_purchase,0.0743,93.23,11.18,11.18,757.00,4500.04,12430.00,29.60,5.00,0.00,0.00,0.00
1.00,debt_consolidation,0.0775,202.94,10.78,13.53,787.00,10260.04,10742.00,8.90,3.00,0.00,0.00,0.00
1.00,debt_consolidation,0.1186,165.74,10.60,7.02,667.00,2789.04,2197.00,75.80,0.00,2.00,0.00,1.00
1.00,all_other,0.1028,158.76,10.69,15.30,692.00,4410.00,88.00,23.80,1.00,3.00,0.00,1.00
1.00,debt_consolidation,0.1028,485.99,10.82,11.88,702.00,7020.04,13867.00,33.70,0.00,0.00,0.00,0.00
1.00,all_other,0.0996,322.49,11.19,10.28,702.00,4920.04,3943.00,98.60,3.00,0.00,0.00,1.00
1.00,debt_consolidation,0.0870,189.97,10.09,19.45,757.00,3870.04,5405.00,40.00,2.00,0.00,0.00,0.00
1.00,debt_consolidation,0.1217,376.24,10.42,23.96,712.00,3030.04,12102.00,49.00,1.00,0.00,0.00,0.00
1.00,debt_consolidation,0.1217,599.33,11.61,18.30,682.00,4379.00,18076.00,81.40,1.00,0.00,0.00,0.00
1.00,debt_consolidation,0.1217,132.35,10.20,23.20,702.00,5279.04,4504.00,39.20,1.00,0.00,0.00,1.00
1.00,small_business,0.1186,828.69,10.86,9.74,712.00,4859.04,25852.00,60.50,0.00,0.00,0.00,0.00
1.00,credit_card,0.1091,604.88,10.86,17.56,707.00,8061.00,32438.00,43.00,0.00,1.00,0.00,0.00
1.00,debt_consolidation,0.0870,538.23,10.93,11.51,747.00,6240.04,20380.00,48.10,2.00,0.00,0.00,0.00
1.00,credit_card,0.0933,172.55,10.65,16.09,707.00,2220.00,38054.00,61.20,0.00,0.00,0.00,0.00
1.00,small_business,0.1091,604.88,10.49,4.67,697.00,1410.00,25.00,0.20,2.00,0.00,0.00,0.00
1.00,all_other,0.0996,290.24,10.55,3.38,697.00,1782.00,3305.00,55.10,2.00,0.00,0.00,0.00
1.00,major_purchase,0.1186,530.36,11.37,15.10,682.00,3900.00,348.00,4.80,0.00,0.00,0.00,1.00
1.00,all_other,0.0870,158.31,10.09,6.15,722.00,1350.00,3015.00,25.30,0.00,0.00,0.00,0.00
1.00,debt_consolidation,0.1059,390.54,10.31,19.84,702.00,2042.04,7336.00,71.90,1.00,0.00,0.00,0.00
1.00,credit_card,0.1249,301.04,10.86,4.98,662.00,6630.04,8644.00,72.60,1.00,0.00,0.00,0.00
1.00,small_business,0.1154,659.91,11.47,17.81,707.00,3629.00,93.00,0.00,2.00,0.00,0.00,1.00
1.00,small_business,0.0743,217.52,10.67,1.65,777.00,2879.00,2698.00,9.50,0.00,0.00,0.00,0.00
1.00,home_improvement,0.1028,388.79,11.48,5.58,697.00,4800.04,19009.00,30.00,0.00,0.00,0.00,0.00
1.00,major_purchase,0.0870,158.31,10.78,0.38,717.00,12930.04,498.00,7.30,2.00,1.00,0.00,0.00
1.00,debt_consolidation,0.1217,319.64,11.00,19.28,672.00,4740.00,10358.00,91.70,2.00,0.00,1.00,1.00
1.00,credit_card,0.1028,103.68,11.23,9.70,682.00,12780.00,2105.00,45.30,0.00,3.00,0.00,0.00
